"long";"lat";"region_site";"site_id";"locality"
"78";-87,032444;5,551444;"costa_rica-isla_ulloa";"costa_rica-isla_ulloa";"isla_del_coco"
"79";-87,0645;5,549556;"costa_rica-isla_vikinga";"costa_rica-isla_vikinga";"isla_del_coco"
"80";-85,8217437845;10,5088572075;"costa_rica-islas_brumel";"costa_rica-islas_brumel";"bahia_culebra"
"81";-85,871922943;10,4816226581;"costa_rica-islas_catalinas";"costa_rica-islas_catalinas";"bahia_potrero"
"82";-85,72417;10,95799;"costa_rica-islas_los_munecos";"costa_rica-islas_los_munecos";"golfo_de_santa_elena"
"83";-83,385472;8,730417;"costa_rica-islotes";"costa_rica-islotes";"golfo_dulce"
"84";-85,8417643505;10,4718957607;"costa_rica-islotes_mogotes";"costa_rica-islotes_mogotes";"bahia_potrero"
"85";-85,676711;10,619775;"costa_rica-jicaral";"costa_rica-jicaral";"bahia_culebra"
"86";-85,818790069;10,1745280279;"costa_rica-junquillal";"costa_rica-junquillal";"villareal"
"87";-83,866361;8,706667;"costa_rica-la_catarata";"costa_rica-la_catarata";"isla_del_cano"
"88";-85,7498333333333;11,0333611111111;"costa_rica-la_paloma";"costa_rica-la_paloma";"revisar"
"89";-83,782278;9,15025;"costa_rica-la_viuda";"costa_rica-la_viuda";"marino_ballena"
"90";-84,145128;9,381308;"costa_rica-manuel_antonio";"costa_rica-manuel_antonio";"unknown"
"91";-85,7956544044;10,1052098822;"costa_rica-manzanillo";"costa_rica-manzanillo";"marbella"
"92";-85,7797055322;10,5429374734;"costa_rica-matapalo";"costa_rica-matapalo";"bahia_culebra"
"93";-83,410111;8,722361;"costa_rica-mogos";"costa_rica-mogos";"golfo_dulce"
"94";-84,8635277777778;9,81644444444444;"costa_rica-negritos";"costa_rica-negritos";"revisar"
"95";-83,274389;8,657056;"costa_rica-nicuesa";"costa_rica-nicuesa";"golfo_dulce"
"96";-85,687132;10,645021;"costa_rica-palmitas";"costa_rica-palmitas";"bahia_culebra"
"97";-85,71103;10,578757;"costa_rica-pelonas";"costa_rica-pelonas";"bahia_culebra"
"98";-83,72521;9,10746;"costa_rica-piedra_ballena";"costa_rica-piedra_ballena";"marino_ballena"
"99";-83,666694;8,509667;"costa_rica-piedra_llorona";"costa_rica-piedra_llorona";"osa"
"100";-85,7365610299;10,0253670509;"costa_rica-playa_agujas";"costa_rica-playa_agujas";"san_juanillo"
"101";-85,686039;10,610869;"costa_rica-playa_blanca";"costa_rica-playa_blanca";"bahia_culebra"
"102";-85,8392816133;10,3873338074;"costa_rica-playa_real";"costa_rica-playa_real";"cabo_velas"
"103";-85,8286635983;10,4002826669;"costa_rica-playa_zapotillal";"costa_rica-playa_zapotillal";"cabo_velas"
"104";-83,296111;8,655056;"costa_rica-punta_adela";"costa_rica-punta_adela";"golfo_dulce"
"105";-85,8546877371;10,370459637;"costa_rica-punta_cabuya";"costa_rica-punta_cabuya";"cabo_velas"
"106";-85,486833;9,861;"costa_rica-punta_carrillo";"costa_rica-punta_carrillo";"samara"
"107";-85,7923438448;10,0954210401;"costa_rica-punta_coco";"costa_rica-punta_coco";"marbella"
"108";-85,867344198;10,3666562579;"costa_rica-punta_conejo";"costa_rica-punta_conejo";"cabo_velas"
"109";-85,497583;9,864722;"costa_rica-punta_el_indio";"costa_rica-punta_el_indio";"samara"
"110";-83,246139;8,636333;"costa_rica-punta_gallardo";"costa_rica-punta_gallardo";"golfo_dulce"
"111";-87,07175;5,543361;"costa_rica-punta_gissler";"costa_rica-punta_gissler";"isla_del_coco"
"112";-85,402811;9,84585;"costa_rica-punta_islita";"costa_rica-punta_islita";"coyote"
"113";-87,095806;5,519306;"costa_rica-punta_leonel";"costa_rica-punta_leonel";"isla_del_coco"
"115";-87,086806;5,535361;"costa_rica-punta_maria";"costa_rica-punta_maria";"isla_del_coco"
"116";-85,8370621755;10,3991347226;"costa_rica-punta_nombre_de_jesus";"costa_rica-punta_nombre_de_jesus";"cabo_velas"
"117";-85,8378682985;10,2017193228;"costa_rica-punta_pargos";"costa_rica-punta_pargos";"villareal"
"118";-85,7676457187;10,0623370864;"costa_rica-punta_pitahaya";"costa_rica-punta_pitahaya";"marbella"
"119";-85,743931;10,031311;"costa_rica-punta_pleito";"costa_rica-punta_pleito";"san_juanillo"
"120";-85,79971;10,93089;"costa_rica-punta_pochote";"costa_rica-punta_pochote";"santa_elena"
"121";-87,060389;5,549944;"costa_rica-punta_presidio";"costa_rica-punta_presidio";"isla_del_coco"
"122";-85,8459317686;10,3846414912;"costa_rica-punta_roble";"costa_rica-punta_roble";"cabo_velas"
"123";-85,8261693726;10,4116308343;"costa_rica-punta_sabana";"costa_rica-punta_sabana";"bahia_brasilito"
"124";-85,7440130927;10,031603187;"costa_rica-punta_trinidad";"costa_rica-punta_trinidad";"san_juanillo"
"125";-83,736333;8,637972;"costa_rica-roca_campanario";"costa_rica-roca_campanario";"osa"
"126";-85,7103307779;10,5787360649;"costa_rica-roca_pelonas";"costa_rica-roca_pelonas";"golfo_de_papagayo"
"127";-87,081694;5,548222;"costa_rica-roca_sucia";"costa_rica-roca_sucia";"isla_del_coco"
"128";-87,055444;5,504861;"costa_rica-roca_sumergida";"costa_rica-roca_sumergida";"isla_del_coco"
"129";-87,029083;5,545917;"costa_rica-rodolitos";"costa_rica-rodolitos";"isla_del_coco"
"130";-83,718178;8,670994;"costa_rica-san_josecito";"costa_rica-san_josecito";"osa"
"131";-83,738194;8,613583;"costa_rica-san_pedrillo";"costa_rica-san_pedrillo";"osa"
"132";-83,351083;8,578861;"costa_rica-sandalo";"costa_rica-sandalo";"golfo_dulce"
"133";-87,03108;5,554;"costa_rica-silverado";"costa_rica-silverado";"isla_del_coco"
"134";-85,8003332152;10,1313147766;"costa_rica-surcos_de_piedra";"costa_rica-surcos_de_piedra";"marbella"
"135";-84,897556;9,763417;"costa_rica-tiburon";"costa_rica-tiburon";"tolingas"
"136";-83,706861;9,104083;"costa_rica-tres_hermanas";"costa_rica-tres_hermanas";"marino_ballena"
"137";-85,712642;10,578931;"costa_rica-bajo_argentina";"costa_rica-bajo_argentina";"bahia_culebra"
"138";-85,679086;10,610825;"costa_rica-bajo_mero";"costa_rica-bajo_mero";"bahia_culebra"
"139";-85,709303;10,578069;"costa_rica-bajo_percy";"costa_rica-bajo_percy";"bahia_culebra"
"140";-85,701542;10,610481;"costa_rica-cabeza_de_mono";"costa_rica-cabeza_de_mono";"bahia_culebra"
"141";-85,676097;10,591764;"costa_rica-caletas_i";"costa_rica-caletas_i";"bahia_culebra"
"142";-85,687189;10,644422;"costa_rica-palmares_ii";"costa_rica-palmares_ii";"bahia_culebra"
"143";-85,698825;10,574144;"costa_rica-punta_cacique";"costa_rica-punta_cacique";"bahia_culebra"
"144";-85,332619;9,814439;"costa_rica-punta_bejuco";"costa_rica-coyote-punta_bejuco";"coyote"
"145";-83,416391;8,719593;"costa_rica-punta_bejuco";"costa_rica-NA-punta_bejuco";"unknown"
