locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth_m;genus_species;abund;size_cm
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;paranthias_colonus;55;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;cirrhitichthys_oxycephalus;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;cirrhitichthys_oxycephalus;2;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;caranx_melampygus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;caranx_melampygus;6;60
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;lutjanus_viridis;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;holacanthus_passer;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;johnrandallia_nigrirostris;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;stegastes_arcifrons;116;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;stegastes_arcifrons;202;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;bodianus_diplotaenia;6;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;halichoeres_discolor;16;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;halichoeres_discolor;48;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;halichoeres_discolor;12;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;thalassoma_grammaticum;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;thalassoma_grammaticum;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;thalassoma_lucasanum;350;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;thalassoma_lucasanum;120;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;plagiotremus_azaleus;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;scarus_rubroviolaceus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;scarus_rubroviolaceus;2;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;acanthurus_nigricans;2;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;ctenochaetus_marginatus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;ctenochaetus_marginatus;2;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;prionurus_laticlavius;2;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;melichthys_niger;9;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;myripristis_berndti;2;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;myripristis_berndti;2;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;cephalopholis_panamensis;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;epinephelus_labriformis;1;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;paranthias_colonus;120;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;paranthias_colonus;45;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;cirrhitichthys_oxycephalus;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;caranx_melampygus;2;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;caranx_melampygus;6;60
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;caranx_melampygus;2;65
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;lutjanus_viridis;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;lutjanus_viridis;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;holacanthus_passer;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;holacanthus_passer;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;johnrandallia_nigrirostris;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;stegastes_arcifrons;66;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;bodianus_diplotaenia;2;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;bodianus_diplotaenia;6;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;thalassoma_grammaticum;4;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;thalassoma_lucasanum;530;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;thalassoma_lucasanum;160;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;scarus_rubroviolaceus;1;55
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;acanthurus_nigricans;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;ctenochaetus_marginatus;2;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;melichthys_niger;5;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;melichthys_niger;25;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;zanclus_cornutus;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;aulostomus_chinensis;1;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;arothron_meleagris;12;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;arothron_meleagris;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1440;40;15;canthigaster_punctatissima;6;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;myripristis_berndti;2;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;myripristis_berndti;2;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;dermatolepis_dermatolepis;1;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;paranthias_colonus;5;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;caranx_melampygus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;lutjanus_viridis;5;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;holacanthus_passer;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;holacanthus_passer;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;stegastes_arcifrons;128;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;bodianus_diplotaenia;12;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;bodianus_diplotaenia;6;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;bodianus_diplotaenia;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;thalassoma_grammaticum;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;thalassoma_lucasanum;200;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;thalassoma_lucasanum;72;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;scarus_rubroviolaceus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;scarus_rubroviolaceus;2;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;scarus_rubroviolaceus;3;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;scarus_rubroviolaceus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;scarus_rubroviolaceus;1;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;scarus_rubroviolaceus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;acanthurus_nigricans;10;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;ctenochaetus_marginatus;5;25
