locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth;genus_species;abund;size_cm
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;gnathanodon_speciosus;4;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;acanthurus_xanthopterus;6;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;kyphosus_elegans;2;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;scarus_ghobban;5;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;sufflamen_verres;2;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;lutjanus_argentiventris;10;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;acanthurus_xanthopterus;7;35
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;lutjanus_novemfasciatus;1;35
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;hoplopagrus_guentherii;1;35
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;chilomycterus_reticulatus;1;45
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;fistularia_commersonii;1;95
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;thalassoma_lucasanum;10;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;abudefduf_troschelii;10;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;chromis_atrilobata;70;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;canthigaster_punctatissima;4;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;johnrandallia_nigrirostris;1;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;thalassoma_lucasanum;2;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;stegastes_acapulcoensis;8;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;abudefduf_troschelii;6;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;scarus_ghobban;1;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;scarus_ghobban;2;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;sargocentron_suborbitalis;1;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;gnathanodon_speciosus;8;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;fistularia_commersonii;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;scarus_ghobban;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;acanthurus_xanthopterus;15;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;lutjanus_argentiventris;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;aulostomus_chinensis;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;lutjanus_novemfasciatus;1;35
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;acanthurus_xanthopterus;5;35
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;lutjanus_argentiventris;1;35
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_1;40;7.5;fistularia_commersonii;1;45
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;thalassoma_lucasanum;8;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;chromis_atrilobata;200;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;scarus_ghobban;12;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;thalassoma_lucasanum;3;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;sufflamen_verres;1;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;stegastes_acapulcoensis;5;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;sargocentron_suborbitalis;2;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;kiphosus_sp.;10;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;acanthurus_xanthopterus;10;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;fistularia_commersonii;3;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;diodon_hystrix;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;scarus_ghobban;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;holacanthus_passer;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;lutjanus_novemfasciatus;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;bodianus_diplotaenia;1;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;acanthurus_xanthopterus;7;35
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_2;40;7.5;fistularia_commersonii;1;35
